dataset,horizon_step,horizon_group,mae_lstm,mae_tcn,mae_cnn,mae_equal,mae_f2,best_expert,ranking,best_vs_runner_up_gap,f2_minus_equal
PJM,12,Medium (9-16),791.2624137721699,1049.45641756291,758.1309318649172,285.9848378502664,288.13520926750107,CNN,CNN > LSTM > TCN,33.13148190725269,2.150371417234737
PJM,13,Medium (9-16),740.1114653179102,1139.513738338715,954.9291007418184,268.69383188075227,268.92268458646214,LSTM,LSTM > CNN > TCN,214.8176354239082,0.228852705709869
PJM,14,Medium (9-16),690.9205934924024,1045.6007355687193,766.3187805711262,278.2278016884039,277.5065544206112,LSTM,LSTM > CNN > TCN,75.39818707872382,-0.7212472677927053
PJM,15,Medium (9-16),599.8320991204201,985.5771426270824,859.2530757735174,270.2176860972048,268.5216833020831,LSTM,LSTM > CNN > TCN,259.4209766530972,-1.6960027951216716
PJM,16,Medium (9-16),598.0554004754933,932.7910896589004,795.4717146598822,274.4623453547804,271.7648424910106,LSTM,LSTM > CNN > TCN,197.41631418438885,-2.6975028637697847
PJM,17,Long (17-24),534.9788423996415,986.1613245921184,956.2207241668308,272.0359610471538,270.40489261912103,LSTM,LSTM > CNN > TCN,421.2418817671892,-1.6310684280327905
PJM,18,Long (17-24),554.9261977208248,838.4709820110902,856.218899241132,271.07061032501787,269.2764904043888,LSTM,LSTM > TCN > CNN,283.5447842902654,-1.7941199206290437
PJM,19,Long (17-24),470.0924821621084,831.1112118795272,897.9837266858241,270.45766630865444,267.8747858826152,LSTM,LSTM > TCN > CNN,361.01872971741886,-2.58288042603931
PJM,20,Long (17-24),452.4907479232618,864.5328784833127,946.4023907377864,275.07135260458875,271.86392716151005,LSTM,LSTM > TCN > CNN,412.0421305600509,-3.207425443078705
PJM,21,Long (17-24),450.3271927951836,888.2088127489343,782.3730648104438,276.9567007240821,274.24157114921246,LSTM,LSTM > CNN > TCN,332.04587201526016,-2.71512957486965
PJM,22,Long (17-24),477.1957960404056,1081.0907138690718,1024.6346291942457,266.45937678912287,264.06874167694764,LSTM,LSTM > CNN > TCN,547.43883315384,-2.3906351121752323
PJM,23,Long (17-24),545.3927182841263,1094.4232555981944,994.1570363262512,275.24059458491,272.12547830239095,LSTM,LSTM > CNN > TCN,448.76431804212496,-3.1151162825190117
PJM,24,Long (17-24),608.8294183673993,1205.6335481673186,1055.1165572143875,271.8426617187884,268.92264368543624,LSTM,LSTM > CNN > TCN,446.2871388469882,-2.9200180333521644
GEFCom,1,Short (1-8),34.070509235115665,41.603377412780965,30.041737569848834,4.975912959560149,4.575078021603733,CNN,CNN > LSTM > TCN,4.028771665266831,-0.4008349379564153
GEFCom,2,Short (1-8),31.068184357701877,47.44270241289624,30.58268404097728,6.441438245403184,6.117544126694651,CNN,CNN > LSTM > TCN,0.4855003167245968,-0.3238941187085329
GEFCom,3,Short (1-8),30.53818591911012,53.22999901868783,29.96731915906717,7.6805459004162975,7.433561021320691,CNN,CNN > LSTM > TCN,0.57086676004295,-0.2469848790956064
GEFCom,4,Short (1-8),30.198622939657117,56.52040642929296,30.183136442853776,8.79063633595206,8.63150493615108,CNN,CNN > LSTM > TCN,0.0154864968033372,-0.1591313998009802
GEFCom,5,Short (1-8),29.659065823208103,57.21223289749894,29.374675616599085,9.865983362222025,9.659871736132535,CNN,CNN > LSTM > TCN,0.2843902066090216,-0.2061116260894877
GEFCom,6,Short (1-8),30.699378479265555,58.46948822604388,29.43544288339569,10.738810770392789,10.56105426635669,CNN,CNN > LSTM > TCN,1.2639355958698637,-0.1777565040360968
GEFCom,7,Short (1-8),29.51962549622654,55.7873994370974,29.638975794526434,11.311179482777712,11.295628995575866,LSTM,LSTM > CNN > TCN,0.1193502982998957,-0.0155504872018461
GEFCom,8,Short (1-8),28.72797074158161,52.77860288232805,29.116382467366115,11.904584928245775,11.975163010091665,LSTM,LSTM > CNN > TCN,0.3884117257845005,0.0705780818458876
GEFCom,9,Medium (9-16),29.17264496564415,49.26973350626474,29.67475616067326,12.493887749578825,12.613783721333313,LSTM,LSTM > CNN > TCN,0.5021111950291122,0.1198959717544898
GEFCom,10,Medium (9-16),28.68783561768046,45.346924994521295,29.766630529995627,12.836247123354497,13.00909944662357,LSTM,LSTM > CNN > TCN,1.0787949123151677,0.1728523232690726
GEFCom,11,Medium (9-16),28.876730710968676,42.93258536012988,29.059626868067493,13.29637579342803,13.469750459573389,LSTM,LSTM > CNN > TCN,0.1828961570988205,0.1733746661453583
GEFCom,12,Medium (9-16),27.94259305158181,42.0304834988945,30.592970221023094,13.819329455420617,13.854661529336894,LSTM,LSTM > CNN > TCN,2.650377169441292,0.0353320739162779
GEFCom,13,Medium (9-16),28.126265952300734,42.88683534093556,29.50431257682022,14.210165645992143,14.11911769103997,LSTM,LSTM > CNN > TCN,1.378046624519481,-0.0910479549521756
GEFCom,14,Medium (9-16),28.095762672186687,42.83347558342943,29.83333167309484,14.63786300142974,14.453116324980105,LSTM,LSTM > CNN > TCN,1.7375690009081488,-0.1847466764496381
GEFCom,15,Medium (9-16),27.29943809334164,44.753682941125184,30.101246481935,14.7223116152863,14.486322057774306,LSTM,LSTM > CNN > TCN,2.8018083885933542,-0.2359895575119956
GEFCom,16,Medium (9-16),28.426632502070937,43.2244848858038,29.75418653831239,14.838528199135803,14.568435843402172,LSTM,LSTM > CNN > TCN,1.3275540362414515,-0.2700923557336327
GEFCom,17,Long (17-24),30.2742464567506,42.17984547249074,29.12864175282983,15.146613189087246,14.805202175679376,CNN,CNN > LSTM > TCN,1.1456047039207675,-0.3414110134078711
GEFCom,18,Long (17-24),29.281710073115654,40.06014192581201,29.039113050472537,15.260829669946927,14.908459935911582,CNN,CNN > LSTM > TCN,0.2425970226431211,-0.3523697340353457
GEFCom,19,Long (17-24),27.879672854394627,36.01998970473506,29.401594266270195,15.247730386836745,14.94389871682068,LSTM,LSTM > CNN > TCN,1.5219214118755673,-0.3038316700160628
GEFCom,20,Long (17-24),27.613745795193577,34.01597172779571,30.22282844879951,15.322987469704746,15.037238198529389,LSTM,LSTM > CNN > TCN,2.6090826536059346,-0.2857492711753568
GEFCom,21,Long (17-24),25.88965816913333,29.47093808363509,28.533590642626617,15.359043173891015,15.148058716091546,LSTM,LSTM > CNN > TCN,2.6439324734932867,-0.2109844577994692
GEFCom,22,Long (17-24),23.922460178858397,27.53124331297189,28.30054773569346,15.385751516850805,15.213555386929531,LSTM,LSTM > TCN > CNN,3.6087831341134944,-0.1721961299212733
GEFCom,23,Long (17-24),23.44799147922728,29.17992904271991,27.237967042130585,15.407707740832162,15.336793432314051,LSTM,LSTM > CNN > TCN,3.789975562903308,-0.0709143085181107
GEFCom,24,Long (17-24),23.499465820876463,32.304533253300136,27.07905662320381,15.571278320034104,15.616257347279856,LSTM,LSTM > CNN > TCN,3.579590802327345,0.0449790272457537
UCI,1,Short (1-8),88.1872978183786,21.769921049095057,69.96703223722528,6.9602984046422485,6.401910699391162,TCN,TCN > CNN > LSTM,48.19711118813022,-0.5583877052510866
UCI,2,Short (1-8),90.94787192280512,20.661092134645106,73.4654780433622,7.530043308036937,6.801192027018485,TCN,TCN > CNN > LSTM,52.80438590871709,-0.7288512810184526
UCI,3,Short (1-8),92.22061528762742,26.082565861476414,71.83605268051205,7.769555904498697,7.151641516061316,TCN,TCN > CNN > LSTM,45.75348681903564,-0.6179143884373808
UCI,4,Short (1-8),95.75246489180752,26.809316476393068,70.712517480854,7.86749186209195,7.159829274195625,TCN,TCN > CNN > LSTM,43.90320100446094,-0.7076625878963254
UCI,5,Short (1-8),99.4060826643878,26.388972846934337,73.9396485245676,8.22240286443396,7.51110644183911,TCN,TCN > CNN > LSTM,47.55067567763327,-0.7112964225948497
UCI,6,Short (1-8),96.1327970716448,27.874033158674024,74.61633497626114,8.179269434263471,7.735341842776678,TCN,TCN > CNN > LSTM,46.74230181758712,-0.4439275914867933
UCI,7,Short (1-8),98.22905248436224,27.50686399178501,78.60555099426519,8.328523244294251,7.843299807636023,TCN,TCN > CNN > LSTM,51.098687002480176,-0.4852234366582282
UCI,8,Short (1-8),95.80947402026771,26.51353350863676,77.78922598230368,8.571237705288922,8.229518618262594,TCN,TCN > CNN > LSTM,51.27569247366692,-0.3417190870263287
UCI,9,Medium (9-16),93.20891440625,28.81989170394413,76.47387406692677,8.630274422656269,8.497716952364078,TCN,TCN > CNN > LSTM,47.65398236298264,-0.1325574702921912
UCI,10,Medium (9-16),98.19025737143828,27.776950873443287,79.18485265127053,9.059274223737066,8.847933645770157,TCN,TCN > CNN > LSTM,51.40790177782725,-0.2113405779669097
UCI,11,Medium (9-16),101.99758338372877,27.999465161201464,82.42419175273251,8.962613278504277,8.592779147156422,TCN,TCN > CNN > LSTM,54.42472659153105,-0.3698341313478543
UCI,12,Medium (9-16),97.51610960695,30.904458683973264,75.77658399975108,8.801661120245512,8.561967692108531,TCN,TCN > CNN > LSTM,44.87212531577782,-0.2396934281369809
UCI,13,Medium (9-16),103.23031549737006,34.081883465428,78.11562435728382,8.846100746708714,8.504559632460264,TCN,TCN > CNN > LSTM,44.03374089185582,-0.3415411142484501
UCI,14,Medium (9-16),104.49695410944712,36.64638760561705,78.23693620768982,8.871093447276087,8.722725344807602,TCN,TCN > CNN > LSTM,41.59054860207277,-0.1483681024684848
UCI,15,Medium (9-16),104.22935207458856,37.15169988227211,81.53032451978366,8.837302443316693,8.52413751528595,TCN,TCN > CNN > LSTM,44.37862463751155,-0.3131649280307425
UCI,16,Medium (9-16),102.65332719215372,37.11388933315973,77.95862088184239,9.054407207272476,8.758524065151972,TCN,TCN > CNN > LSTM,40.84473154868266,-0.2958831421205037
UCI,17,Long (17-24),100.9131369500086,38.32365379655534,74.5581951434513,9.10193584911578,9.016037479509878,TCN,TCN > CNN > LSTM,36.23454134689596,-0.0858983696059034
UCI,18,Long (17-24),100.49712375115922,43.49548222779456,75.00873684872921,8.740555418881062,8.790065646960088,TCN,TCN > CNN > LSTM,31.51325462093466,0.0495102280790256
UCI,19,Long (17-24),100.01959416107891,49.68698434716199,76.54002574399152,8.719964432606934,8.741399732028974,TCN,TCN > CNN > LSTM,26.85304139682953,0.0214352994220394
UCI,20,Long (17-24),90.73807166752242,46.97571675329821,74.40026255510591,8.703777355404075,8.57971287203922,TCN,TCN > CNN > LSTM,27.424545801807703,-0.1240644833648545
UCI,21,Long (17-24),85.01910229225791,34.6907999897314,70.58215116640974,8.693502066791194,8.351805777680902,TCN,TCN > CNN > LSTM,35.89135117667835,-0.3416962891102919
UCI,22,Long (17-24),87.328159495135,34.78410194957466,75.30383894840698,8.9153555413654,8.40098458588612,TCN,TCN > CNN > LSTM,40.51973699883232,-0.514370955479281
UCI,23,Long (17-24),91.68295592451749,30.38547624842921,73.26220366299813,9.173619432556656,8.561607841449456,TCN,TCN > CNN > LSTM,42.87672741456892,-0.6120115911071995
UCI,24,Long (17-24),91.82444876142227,36.96922976669083,70.92411689174375,9.019522539337483,8.669594205583458,TCN,TCN > CNN > LSTM,33.95488712505292,-0.3499283337540273
