client_id,first_nonzero_row,first_nonzero_ts,zero_count,nonzero_count,min_val,max_val,mean_val,negative_count
MT_001,35040,2012-01-01 00:15:00,40743,99513,0.0,48.2233502538071,3.9708,0
MT_002,35040,2012-01-01 00:15:00,35044,105212,0.0,115.220483641536,20.7685,0
MT_003,35040,2012-01-01 00:15:00,35650,104606,0.0,151.172893136403,2.9183,0
MT_004,35040,2012-01-01 00:15:00,35053,105203,0.0,321.138211382114,82.1845,0
MT_005,35040,2012-01-01 00:15:00,35052,105204,0.0,150.0,37.2403,0
MT_006,35040,2012-01-01 00:15:00,35052,105204,0.0,535.714285714286,141.2274,0
MT_007,35040,2012-01-01 00:15:00,35053,105203,0.0,44.6579988694178,4.5213,0
MT_008,35040,2012-01-01 00:15:00,35053,105203,0.0,552.188552188552,191.4015,0
MT_009,35040,2012-01-01 00:15:00,35055,105201,0.0,157.342657342657,39.9754,0
MT_010,35040,2012-01-01 00:15:00,35054,105202,0.0,198.924731182796,42.2052,0
MT_011,35040,2012-01-01 00:15:00,35052,105204,0.0,100.596125186289,29.8330,0
MT_012,93272,2013-08-29 14:15:00,93277,46979,0.0,342.553191489362,49.3050,0
MT_013,35040,2012-01-01 00:15:00,35054,105202,0.0,220.563847429519,55.1100,0
MT_014,35040,2012-01-01 00:15:00,35081,105175,0.0,130.823229100191,33.5101,0
MT_015,85018,2013-06-04 14:45:00,95582,44674,0.0,101.239669421488,15.1634,0
MT_016,35040,2012-01-01 00:15:00,35053,105203,0.0,99.0888382687927,24.7671,0
MT_017,35040,2012-01-01 00:15:00,35088,105168,0.0,110.512129380054,36.9149,0
MT_018,35040,2012-01-01 00:15:00,35052,105204,0.0,616.613418530351,184.0045,0
MT_019,35040,2012-01-01 00:15:00,35054,105202,0.0,22.6130653266332,6.1872,0
MT_020,35040,2012-01-01 00:15:00,35053,105203,0.0,101.321585903084,30.6303,0
MT_021,35040,2012-01-01 00:15:00,35052,105204,0.0,505.235602094241,121.7625,0
MT_022,35040,2012-01-01 00:15:00,35054,105202,0.0,79.7011207970112,20.5597,0
MT_023,35040,2012-01-01 00:15:00,35148,105108,0.0,32.3218997361478,7.3767,0
MT_024,43628,2012-03-30 11:15:00,43636,96620,0.0,82.3045267489712,21.4070,0
MT_025,35040,2012-01-01 00:15:00,35052,105204,0.0,607.476635514019,163.3740,0
MT_026,35040,2012-01-01 00:15:00,35052,105204,0.0,66.9491525423729,15.6680,0
MT_027,35040,2012-01-01 00:15:00,35053,105203,0.0,62.7283800243605,14.9824,0
MT_028,35040,2012-01-01 00:15:00,35054,105202,0.0,174.205967276227,50.4044,0
MT_029,35040,2012-01-01 00:15:00,35053,105203,0.0,169.067000626174,58.8503,0
MT_030,82521,2013-05-09 14:30:00,82525,57731,0.0,107.274063188832,15.4386,0
MT_031,35040,2012-01-01 00:15:00,35054,105202,0.0,230.263157894737,67.3553,0
MT_032,65817,2012-11-16 14:30:00,65826,74430,0.0,73.6543909348442,15.4112,0
MT_033,53722,2012-07-13 14:45:00,53731,86525,0.0,96.8280467445743,24.8489,0
MT_034,35040,2012-01-01 00:15:00,35054,105202,0.0,55.8659217877095,10.5470,0
MT_035,35040,2012-01-01 00:15:00,35053,105203,0.0,285.513361462729,87.8824,0
MT_036,35040,2012-01-01 00:15:00,35053,105203,0.0,153.184165232358,27.4214,0
